City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jinchang,CN,38.4953,102.1739,76.75,23,54,2.44,broken clouds
80,Svetlyy,RU,54.675,20.1347,66.96,66,99,10.54,overcast clouds
81,Hilo,US,19.7297,-155.09,72.25,79,75,4.61,broken clouds
82,Port Elizabeth,ZA,-33.918,25.5701,56.1,100,0,6.91,clear sky
83,Yellowknife,CA,62.456,-114.3525,72.12,43,0,8.05,smoke
84,Asau,RO,46.4333,26.4,70.72,58,84,5.5,broken clouds
85,Baherden,TM,38.4362,57.4316,83.14,18,0,7.11,clear sky
86,Zhaoyuan,CN,37.3592,120.3964,73.81,70,0,4.18,clear sky
87,Upernavik,GL,72.7868,-56.1549,39.11,88,70,12.57,broken clouds
88,Nanortalik,GL,60.1432,-45.2371,45.05,88,70,4.99,broken clouds
89,Hasaki,JP,35.7333,140.8333,72.28,91,45,18.59,scattered clouds
90,Fortuna,US,40.5982,-124.1573,61.93,92,100,1.01,overcast clouds
91,Tautira,PF,-17.7333,-149.15,78.06,69,12,14.61,few clouds
92,Butaritari,KI,3.0707,172.7902,81.55,78,100,17.2,overcast clouds
93,Poplar Bluff,US,36.757,-90.3929,100.33,66,0,1.01,clear sky
94,Atar,MR,20.5169,-13.0499,110.34,11,14,15.79,few clouds
95,Fort Nelson,CA,58.8053,-122.7002,69.39,60,20,6.91,few clouds
96,Marsa,MT,35.8792,14.4953,92.21,43,0,8.05,clear sky
97,Prince George,CA,53.9166,-122.753,62.26,87,40,3.44,scattered clouds
98,Taixing,CN,32.1667,120.0136,80.35,89,31,5.73,scattered clouds
99,Kondinskoye,RU,59.6481,67.41,63.48,65,58,0.85,broken clouds
100,Vardo,NO,70.3705,31.1107,57.18,77,0,4.61,clear sky
101,Sechura,PE,-5.5569,-80.8222,73.24,58,0,7.65,clear sky
102,Marawi,PH,7.9986,124.2928,70.14,93,100,5.17,overcast clouds
103,Shache,CN,38.4167,77.2406,87.87,19,99,3.56,overcast clouds
104,Kaveripattinam,IN,12.4207,78.2166,75.04,76,99,14.74,moderate rain
105,Goiana,BR,-7.5606,-35.0025,75.72,86,93,11.99,overcast clouds
106,Ugoofaaru,MV,5.6667,73.0,82.76,79,100,14.41,moderate rain
107,Isangel,VU,-19.55,169.2667,74.77,90,100,3.71,overcast clouds
108,Canavieiras,BR,-15.675,-38.9472,78.76,79,80,2.04,broken clouds
109,Auki,SB,-8.7676,160.7034,76.62,88,95,4.36,overcast clouds
110,Castro,BR,-24.7911,-50.0119,71.04,47,57,9.19,broken clouds
111,Lakshettipet,IN,18.8667,79.2167,80.02,85,100,9.26,overcast clouds
112,Tuatapere,NZ,-46.1333,167.6833,40.14,93,100,5.99,overcast clouds
113,Sangar,RU,63.9242,127.4739,60.03,98,97,8.93,light rain
114,Tres Arroyos,AR,-38.3739,-60.2798,51.98,23,1,20.98,clear sky
115,Torbay,CA,47.6666,-52.7314,65.17,93,100,16.11,overcast clouds
116,Aksu,CN,41.1231,80.2644,84.69,29,68,10.78,broken clouds
117,Broome,US,42.2506,-75.833,79.81,63,58,3.0,broken clouds
118,Mayo,US,38.8876,-76.5119,80.13,82,96,5.01,overcast clouds
119,Cayenne,GF,4.9333,-52.3333,86.04,26,75,16.11,broken clouds
120,Worthington,US,40.0931,-83.018,84.87,58,100,3.0,overcast clouds
121,Touros,BR,-5.1989,-35.4608,82.04,71,49,13.62,scattered clouds
122,Uyemskiy,RU,64.4743,40.8524,59.05,100,100,4.47,mist
123,Saldanha,ZA,-33.0117,17.9442,59.05,82,7,2.66,clear sky
124,Khatanga,RU,71.9667,102.5,45.03,47,39,8.3,scattered clouds
125,Bambous Virieux,MU,-20.3428,57.7575,70.05,68,75,16.11,broken clouds
126,Kincardine,GB,56.0667,-3.7167,75.92,70,51,12.88,broken clouds
127,Bluff,NZ,-46.6,168.3333,46.8,81,100,24.61,overcast clouds
128,Dembi Dolo,ET,8.5333,34.8,56.68,97,100,2.77,overcast clouds
129,Norman Wells,CA,65.282,-126.8329,71.64,56,40,5.75,scattered clouds
130,Marystown,CA,47.1666,-55.1483,61.86,100,100,5.99,overcast clouds
131,Songkhla,TH,6.8333,100.6667,80.65,91,96,3.71,overcast clouds
132,Llanes,ES,43.4198,-4.7549,70.9,78,2,7.67,clear sky
133,Bardiyah,LY,31.7561,25.0865,80.92,74,0,14.79,clear sky
134,Busselton,AU,-33.65,115.3333,51.21,79,77,5.32,broken clouds
135,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,78,75,11.32,broken clouds
136,Payo,ID,-3.7508,103.6372,74.34,92,38,1.99,scattered clouds
137,Srednekolymsk,RU,67.45,153.6833,53.15,69,99,14.47,overcast clouds
138,Richmond,US,37.5538,-77.4603,87.4,72,100,4.97,overcast clouds
139,Puerto Escondido,MX,15.85,-97.0667,82.15,71,99,2.66,overcast clouds
140,Karratha,AU,-20.7377,116.8463,63.18,45,0,5.03,clear sky
141,Steamboat Springs,US,40.485,-106.8317,73.71,49,0,3.44,clear sky
142,Qena,EG,26.1615,32.7183,96.69,11,9,13.22,clear sky
143,Talcahuano,CL,-36.7167,-73.1167,50.05,71,39,4.16,scattered clouds
144,Datong,CN,40.0936,113.2914,75.87,52,0,5.82,clear sky
145,Muscle Shoals,US,34.7448,-87.6675,93.88,72,17,4.0,few clouds
146,Bontang,ID,0.1333,117.5,77.2,90,96,7.74,overcast clouds
147,Hofn,IS,64.2539,-15.2082,53.42,80,31,15.3,scattered clouds
148,Portland,US,45.5234,-122.6762,68.67,81,40,1.99,scattered clouds
149,Lompoc,US,34.6391,-120.4579,73.85,82,100,0.0,overcast clouds
150,Kinna,SE,57.5073,12.6946,67.33,41,68,7.0,broken clouds
151,Seoul,KR,37.5683,126.9778,82.0,89,75,10.36,broken clouds
152,Hudiksvall,SE,61.729,17.1036,61.61,56,67,13.53,broken clouds
153,Nadym,RU,65.5333,72.5167,70.99,60,24,10.87,few clouds
154,Gao,ML,16.6362,1.637,104.22,15,19,5.53,few clouds
155,Tigre,AR,-34.426,-58.5796,56.26,38,0,7.0,clear sky
156,Virginia Beach,US,36.8529,-75.978,93.06,65,93,1.99,overcast clouds
157,Nuuk,GL,64.1835,-51.7216,47.88,81,99,7.9,overcast clouds
158,Severo-Kurilsk,RU,50.6789,156.125,50.4,85,81,8.39,broken clouds
159,Yilan,TW,24.757,121.753,86.02,92,80,3.24,broken clouds
160,Cockburn Town,TC,21.4612,-71.1419,81.7,80,0,18.95,clear sky
161,Gizo,SB,-8.103,156.8419,81.19,78,98,6.62,overcast clouds
162,Georgetown,MY,5.4112,100.3354,83.89,79,20,0.0,few clouds
163,Huarmey,PE,-10.0681,-78.1522,66.38,71,50,7.23,scattered clouds
164,Quelimane,MZ,-17.8786,36.8883,65.62,86,23,3.74,few clouds
165,Forbes,AU,-33.3833,148.0167,40.91,91,1,6.04,clear sky
166,Mendi,PG,-6.1761,143.6513,54.46,98,99,1.88,overcast clouds
167,Talnakh,RU,69.4865,88.3972,52.92,53,50,2.08,scattered clouds
168,Obo,CF,5.3998,26.4869,76.77,70,91,3.87,overcast clouds
169,Bonnyville,CA,54.2668,-110.735,66.0,66,50,13.38,scattered clouds
170,Hovd,MN,48.0056,91.6419,64.31,40,46,3.29,scattered clouds
171,Clifton,US,40.8584,-74.1638,82.9,57,75,10.36,broken clouds
172,Enshi,CN,30.3,109.4833,74.44,89,0,0.89,clear sky
173,Victoria,HK,22.2855,114.1577,85.32,88,100,11.99,overcast clouds
174,Rajula,IN,21.05,71.4333,79.72,87,100,15.59,overcast clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,53.1,39,3,23.0,light rain
176,Pucallpa,PE,-8.3791,-74.5539,93.15,42,2,2.44,clear sky
